director,id
martin donovan,1495632
mike judge,17403
robert harling,68319
terry george,2589
dan ireland,69099
albert brooks,13
murray lerner,118441
ralph ziman,88970
robert young,127716
robert butler,101767
michael rymer,28741
roger christian,5058
thomas carter,52038
françois dupeyron,5005
steven paul,16838
andrew birkin,2355
peter baldwin,34651
e. max frye,68928
stefan schwietert,932805
jan svěrák,11688
vondie curtis-hall,6198
christopher guest,13524
sergei bodrov jr.,71871
craig rosenberg,58922
r. paul miller,60865
bob spiers,47974
stephen kessler,69353
david lynch,5602
merzak allouache,82307
peter spirer,107131
mark christopher,33541
peggy rajski,56947
nickolas perry,137392
theodore witcher,120515
greg mottola,54733
mark dindal,61411
robert townsend,68750
emma-kate croghan,142513
shuki levy,50099
david winning,52044
tsui hark,26760
george armitage,58294
leslie greif,51575
lynne stopkewich,1215282
tom schulman,2691
jack green,356
alex sichel,73622
seth zvi rosenfeld,1032175
nana dzhordzhadze,48663
david mirkin,58178
peter duncan,61335
jay roach,6737
jonathan mostow,7213
gregor nicholas,938945
daniel taplitz,74063
mo ogrodnik,974866
kiefer sutherland,2628
l.a. puopolo,92108
ronny yu,17268
kevin bacon,4724
agnès varda,6817
joe mantello,171000
masayuki suo,68707
dee mclachlan,83284
duncan mclachlan,228286
kevin allen,36083
griffin dunne,2171
mark herman,55299
david hare,8403
jacques doillon,118020
dale rosenbloom,79983
emilio estevez,2880
clare peploe,133420
simon west,12786
julia dyer,1143633
laetitia masson,222216
robert patton-spruill,563363
adrienne shelly,66496
dana lustig,60050
jim wilson,7847
stephen t. kay,56435
yvonne rainer,1078811
shinya tsukamoto,58608
cédric klapisch,17520
mohsen makhmalbaf,120226
tony gatlif,41040
scott michell,1284919
shirley barrett,181826
john milius,8328
mark a.z. dippé,87130
charles martin smith,1270
neil labute,58689
sam pillsbury,64099
kenneth johnson,19142
bill duke,1103
andy cadiff,80307
brett ratner,11091
john nicolella,70765
tony vitale,18139
miguel arteta,61069
mimi leder,51984
"george tillman, jr.",66121
matthew harrison,586698
robert kurtzman,11419
félix enríquez alcalá,77211
john patrick kelley,533977
keith samples,65115
gavin wilding,115362
lionel c. martin,229097
peter cattaneo,57630
nancy meckler,1112916
john madden,18844
jim gillespie,33254
stuart gillard,76418
andy wilson,28487
mark waters,54050
andrew niccol,8685
charles sturridge,77104
john o'hagan,1286930
morgan j. freeman,66800
kasi lemmons,51864
jeb stuart,7671
jim kouf,21155
robert downey sr.,59874
costa-gavras,27436
josh pate,74429
jonas pate,77086
paul thomas anderson,4762
alex zamm,88077
peter howitt,7791
john r. leonetti,26714
billy hopkins,3192
gary goldman,12881
don bluth,40345
scott harris,105287
robert duvall,3087
agnès merlet,78725
sean mathias,84896
ash baron-cohen,77465
louis saïa,240071
raja gosnell,1215
martin kitrosser,58809
gore verbinski,1704
cindy sherman,1058100
rodney gibbons,56983
bret mccormick,98120
roger spottiswoode,1724
seth michael donsky,1352792
gaël morel,49855
richard friedenberg,4137
alan rickman,4566
alain berliner,96972
sean mcnamara,129952
george mendeluk,105294
darin scott,57777
joseph dorman,656971
dean semler,4501
manny coto,41795
mikael salomon,30149
stefan schwartz,94155
brian evans,138653
bret michaels,18694
charlie peters,65401
alexander sokurov,107762
antoine fuqua,20907
mark pavia,72182
millicent shelton,1214641
frank coraci,57370
michael paxton,939416
robert dornhelm,44644
roberto benabib,1214449
kari skogland,22140
richard kwietniowski,228797
jorge fons,139593
david breashears,86557
stephen judson,90225
greg macgillivray,90223
jonathan darby,974699
peter o'fallon,41472
randall wallace,2460
john roberts,120218
takeshi kitano,3317
bob gosse,36187
m. night shyamalan,11614
howard goldberg,122458
james toback,56381
steve boyum,72258
ice cube,9778
craig lahiff,558905
david mamet,1255
barnet kellman,121829
jake kasdan,51851
gary oldman,64
john johnson,568291
anthony hickox,48965
julie davis,87033
david decoteau,97618
juan josé campanella,84714
alan smithee,55948
todd holland,1213162
sammo hung,62410
abbas kiarostami,119294
mike van diem,123150
pål sletaune,7736
john warren,8108
larry david,16376
kirk wong,58036
carl schenkel,47924
tim mccanlies,77919
leonid boyko,526847
vyacheslav krishtofovich,543662
james f. robinson,1069294
jill sprecher,145134
thom fitzgerald,229519
frederik du chau,50582
warren beatty,6449
don roos,57579
michael martin,258199
erik skjoldbjærg,95760
antonio tibaldi,85549
scott reynolds,206549
caroline link,4522
harry elfont,13615
deborah kaplan,13614
des mcanuff,588701
lisa cholodenko,75699
david leland,33317
lavinia currier,1205453
majid majidi,110695
tim kirkman,931795
tiffanie debartolo,1031288
christopher scott cherot,93133
manuel pradal,4883
tony bancroft,66190
barry cook,66191
marc evans,4575
rob bowman,12523
paddy breathnach,73282
chris eyre,1232592
vincent gallo,22461
darren aronofsky,6431
susan skoog,1030415
edward d. wood jr.,44763
harry beaumont,145605
wesley ruggles,21311
edmund goulding,34740
frank lloyd,72061
william dieterle,49214
laurence olivier,3359
robert rossen,14875
cecil b. demille,8636
delbert mann,67451
jerome robbins,18868
hugh hudson,58220
alex cox,31493
